Wall time,Step,Value
1618416752.7853446,430,29324.0
1618416851.398089,439,28997.0
1618416873.0872688,441,26471.0
1618416884.7537029,442,26124.0
1618416919.6299603,445,28006.0
1618416989.331894,451,24790.0
1618417089.8044605,460,25807.0
1618417121.3588405,463,25818.0
1618417132.8437824,464,25390.0
1618417237.6368804,473,25185.0
1618417249.2588124,474,23264.0
1618417416.7192345,489,24464.0
1618417440.1236923,491,25364.0
1618417463.4850986,493,23760.0
1618417619.2022629,507,28403.0
1618417677.314478,512,23644.0
1618417700.5818343,514,26246.0
1618417735.7117875,517,28793.0
1618417825.015403,525,24946.0
1618417892.1986005,531,24152.0
1618417915.4634938,533,29414.0
1618417950.7657864,536,26985.0
1618418020.7619045,542,25897.0
1618418074.3397653,547,26675.0
1618418188.9521077,557,25798.0
1618418211.9314547,559,31249.0
1618418258.409021,563,26308.0
1618418321.6817424,569,24142.0
1618418366.8242943,573,22962.0
1618418378.394721,574,22316.0
1618418436.283097,579,29913.0
1618418459.3352454,581,26065.0
1618418470.8287773,582,25252.0
1618418493.8772035,584,23866.0
1618418517.14177,586,24090.0
1618418528.7450984,587,23478.0
1618418579.6461031,592,26814.0
1618418590.9052622,593,24255.0
1618418695.9133902,602,23841.0
1618418765.9841225,608,24413.0
1618418788.5252361,610,22753.0
1618418840.673177,615,24112.0
1618418898.385644,620,25334.0
1618418921.669087,622,23159.0
1618419055.3316429,634,22320.0
1618419135.446051,641,21612.0
1618419147.0686274,642,21242.0
1618419170.135545,644,23699.0
1618419181.7338111,645,22520.0
1618419193.3159523,646,24832.0
1618419204.9838367,647,23025.0
1618419228.5955298,649,21618.0
1618419263.4751425,652,23719.0
1618419304.0324643,656,24720.0
1618419361.236414,661,21572.0
1618419396.197737,664,25938.0
1618419442.2644668,668,21041.0
1618419477.079771,671,23058.0
1618419488.701419,672,21597.0
1618419512.034497,674,22166.0
1618419522.8491757,675,21911.0
1618419552.104625,678,21919.0
1618419562.930519,679,21389.0
1618419597.7157829,682,21819.0
1618419609.309656,683,21568.0
1618419667.8458116,688,22185.0
1618419679.4013176,689,26807.0
1618419760.9485965,696,25922.0
1618419789.6889465,699,23014.0
1618419835.4329853,703,28917.0
1618419870.4721532,706,28767.0
1618419893.895352,708,26748.0
1618419917.1403615,710,28559.0
1618419963.6317272,714,22972.0
1618420009.706731,718,21544.0
1618420038.4239423,721,31126.0
1618420049.2311602,722,29222.0
1618420060.8828797,723,27654.0
1618420142.1301992,730,25082.0
1618420211.7162623,736,29820.0
1618420235.1626172,738,26792.0
1618420246.9682348,739,25426.0
1618420286.908436,743,22650.0
1618420332.3550816,747,25638.0
1618420367.125446,750,24549.0
1618420378.7839258,751,23463.0
1618420390.4534557,752,22887.0
1618420413.5877295,754,21577.0
1618420436.7968178,756,21232.0
1618420534.6052341,765,22190.0
1618420545.7624025,766,21911.0
1618420580.4561605,769,20934.0
1618420592.0477731,770,20785.0
1618420603.6295838,771,20055.0
1618420626.9033077,773,20165.0
1618420638.5797703,774,27008.0
1618420708.3611608,780,22184.0
1618420752.620183,784,21955.0
1618420762.0557218,785,21199.0
1618420782.6994185,787,23261.0
1618420805.9115498,789,20858.0
1618420840.9538398,792,23176.0
1618420852.6719143,793,22066.0
1618420864.2712994,794,21768.0
1618420875.753269,795,20903.0
1618420910.526503,798,20094.0
1618420957.099997,802,25033.0
1618421010.3413563,807,22045.0
1618421021.0629382,808,22354.0
1618421032.0571573,809,22493.0
1618421101.5694523,815,25496.0
1618421171.1612546,821,24494.0
1618421217.4032779,825,21425.0
1618421248.0360153,828,22844.0
1618421290.8326588,832,30143.0
1618421337.282189,836,24868.0
1618421360.6698403,838,22948.0
1618421419.149028,843,21752.0
1618421453.8665981,846,20623.0
1618421693.1077502,867,21830.0
1618421716.2666378,869,27152.0
1618421726.5203753,870,25773.0
1618421767.4144564,874,22180.0
1618421790.897262,876,21475.0
1618421837.5860841,880,23651.0
1618421860.5000825,882,22325.0
1618421953.538935,890,20812.0
1618422016.290903,896,23468.0
1618422062.976904,900,20952.0
1618422144.572758,907,23004.0
1618422156.177096,908,22334.0
1618422167.9272683,909,22043.0
1618422179.637586,910,21501.0
1618422232.8046396,915,24549.0
1618422254.1286924,917,23014.0
1618422289.0836961,920,21735.0
1618422300.7020366,921,21057.0
1618422324.2090878,923,23354.0
1618422417.7937615,931,19607.0
1618422429.6405737,932,19476.0
1618422462.3422809,935,25152.0
1618422538.8432157,942,21911.0
1618422573.4424636,945,21481.0
1618422678.0478578,954,21929.0
1618422700.8511388,956,21326.0
1618422710.3602688,957,27940.0
1618422720.0348375,958,25265.0
1618422752.4879594,961,22066.0
1618422764.1261132,962,28018.0
1618422810.415522,966,22841.0
1618422868.6610413,971,20298.0
1618422880.3826513,972,19820.0
1618422927.1435773,976,19624.0
1618422938.5715501,977,19266.0
1618422948.723744,978,19080.0
1618422958.174738,979,18919.0
1618423001.3324933,983,23762.0
1618423013.0652418,984,28912.0
1618423047.990476,987,23404.0
1618423059.6408007,988,22457.0
1618423153.0069654,996,22337.0
1618423197.503006,1000,19977.0
1618423217.0254679,1002,19470.0
1618423239.9588306,1004,19194.0
1618423251.6689787,1005,18841.0
1618423334.6279378,1012,19785.0
1618423346.7536147,1013,19637.0
1618423358.5704167,1014,18898.0
1618423394.1577775,1017,26392.0
1618423484.6929564,1025,19655.0
